date,rating_today_above,rating_today_near,rating_today_below
12/23/2013,3,3,1
12/24/2013,2,2,2
12/25/2013,3,3,2
12/26/2013,3,3,2
12/27/2013,2,2,2
12/28/2013,2,2,1
12/29/2013,2,2,1
12/30/2013,2,2,1
12/31/2013,2,2,1
1/1/2014,3,3,1
1/2/2014,3,3,1
1/3/2014,3,3,1
1/4/2014,3,3,2
1/5/2014,3,3,2
1/6/2014,3,3,2
1/7/2014,3,3,2
1/8/2014,3,3,2
1/9/2014,3,3,2
1/10/2014,3,3,2
1/11/2014,3,3,3
1/12/2014,3,3,3
1/13/2014,3,3,3
1/14/2014,3,3,3
1/15/2014,3,3,3
1/16/2014,3,3,3
1/17/2014,3,3,3
1/18/2014,3,3,3
1/19/2014,3,3,2
1/20/2014,3,3,2
1/21/2014,3,3,2
1/22/2014,2,2,2
1/23/2014,2,2,2
1/24/2014,2,2,2
1/25/2014,2,2,1
1/26/2014,2,2,1
1/27/2014,2,2,1
1/28/2014,2,2,1
1/29/2014,2,2,1
1/30/2014,4,4,3
1/31/2014,4,4,4
2/1/2014,3,3,3
2/2/2014,3,3,3
2/3/2014,3,3,3
2/4/2014,3,3,3
2/5/2014,3,3,2
2/6/2014,3,3,2
2/7/2014,3,3,2
2/8/2014,4,4,3
2/9/2014,4,4,3
2/10/2014,4,4,3
2/11/2014,4,3,3
2/12/2014,3,3,3
2/13/2014,3,3,3
2/14/2014,4,3,3
2/15/2014,4,3,3
2/16/2014,3,3,3
2/17/2014,3,3,3
2/18/2014,3,3,3
2/19/2014,3,3,2
2/20/2014,3,3,2
2/21/2014,3,3,2
2/22/2014,3,3,2
2/23/2014,3,3,2
2/24/2014,3,2,2
2/25/2014,2,2,2
2/26/2014,2,2,2
2/27/2014,2,2,2
2/28/2014,3,2,2
3/1/2014,3,3,2
3/2/2014,3,3,2
3/3/2014,2,2,2
3/4/2014,2,2,2
3/5/2014,2,2,2
3/6/2014,2,2,2
3/7/2014,2,2,2
3/8/2014,3,3,3
3/9/2014,2,2,2
3/10/2014,2,2,2
3/11/2014,2,2,2
3/12/2014,2,2,2
3/13/2014,2,2,1
3/14/2014,2,2,1
3/15/2014,2,2,1
3/16/2014,2,2,1
3/17/2014,2,2,1
3/18/2014,2,2,1
3/19/2014,2,2,1
3/20/2014,2,2,1
3/21/2014,2,2,1
3/22/2014,2,2,1
3/23/2014,2,2,1
3/24/2014,2,2,1
3/25/2014,2,2,1
3/26/2014,2,2,1
3/27/2014,3,2,2
3/28/2014,3,3,2
3/29/2014,3,3,2
3/30/2014,2,2,2
3/31/2014,3,3,1
4/1/2014,2,2,1
4/2/2014,2,2,1
4/3/2014,2,2,1
4/4/2014,2,2,1
4/5/2014,2,1,1
4/6/2014,2,1,1
4/7/2014,2,2,1
4/8/2014,2,2,1
