date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour
1/1/2014,3,3,1,0.0
1/1/2015,2,2,2,0.0
1/1/2016,2,2,1,0.0
1/1/2017,2,1,1,0.0
1/10/2014,3,3,2,1.778
1/10/2015,2,2,2,0.0
1/10/2016,1,1,1,0.0
1/10/2017,4,4,4,10.414
1/11/2014,3,3,3,2.032
1/11/2015,2,2,1,0.0
1/11/2016,2,1,1,0.0
1/11/2017,4,3,3,16.002
1/12/2014,3,3,3,1.524
1/12/2015,2,2,1,3.302
1/12/2016,2,1,1,0.0
1/12/2017,3,3,3,6.604
1/13/2014,3,3,3,5.334
1/13/2015,2,2,1,1.016
1/13/2016,1,1,1,0.0
1/13/2017,3,3,2,5.334
1/14/2014,3,3,3,0.0
1/14/2015,2,2,1,0.508
1/14/2016,1,1,1,0.0
1/14/2017,2,2,2,0.0
1/15/2014,3,3,3,1.524
1/15/2015,2,2,1,0.254
1/15/2016,2,2,1,0.0
1/15/2017,2,2,2,0.0
1/16/2014,3,3,3,0.0
1/16/2015,2,2,1,0.0
1/16/2016,2,2,1,0.254
1/16/2017,2,2,2,0.0
1/17/2014,3,3,3,0.0
1/17/2015,2,2,1,0.0
1/17/2016,2,2,1,5.842
1/17/2016,2,2,1,5.842
1/17/2016,3,3,2,5.842
1/17/2016,3,3,2,5.842
1/17/2017,2,2,2,0.508
1/18/2014,3,3,3,0.0
1/18/2015,2,2,1,2.794
1/18/2016,3,3,2,0.254
1/18/2017,1,1,1,0.0
1/19/2014,3,3,2,0.0
1/19/2015,2,2,1,0.0
1/19/2016,3,3,2,0.0
1/19/2017,1,1,1,0.0
1/2/2014,3,3,1,14.478
1/2/2015,2,2,2,0.0
1/2/2016,2,2,1,0.0
1/2/2017,2,1,1,0.0
1/20/2014,3,3,2,0.0
1/20/2015,2,2,1,0.0
1/20/2016,3,3,2,0.254
1/20/2017,2,1,1,0.254
1/21/2014,3,3,2,0.0
1/21/2015,2,2,1,9.652
1/21/2016,3,3,2,3.81
1/21/2017,2,1,1,2.032
1/22/2014,2,2,2,0.0
1/22/2015,2,2,1,0.0
1/22/2016,2,2,2,0.0
1/22/2017,3,2,2,0.0
1/23/2014,2,2,2,0.0
1/23/2015,2,2,1,0.508
1/23/2016,2,2,1,0.762
1/23/2017,3,3,3,0.508
1/24/2014,2,2,2,0.0
1/24/2015,2,2,1,0.0
1/24/2016,2,2,1,1.016
1/24/2017,3,3,3,8.382
1/25/2014,2,2,1,0.0
1/25/2015,2,2,1,0.0
1/25/2016,2,2,1,0.0
1/25/2017,2,2,2,1.524
1/26/2014,2,2,1,0.0
1/26/2015,2,2,1,0.0
1/26/2016,2,2,1,0.254
1/26/2017,2,2,2,0.508
1/27/2014,2,2,1,0.0
1/27/2015,2,2,1,0.0
1/27/2016,2,2,1,0.254
