date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour,day_of_year
1/1/2014,3,3,1,0.0,1
1/1/2015,2,2,2,0.0,1
1/1/2016,2,2,1,0.0,1
1/1/2017,2,1,1,0.0,1
1/10/2014,3,3,2,1.778,10
1/10/2015,2,2,2,0.0,10
1/10/2016,1,1,1,0.0,10
1/10/2017,4,4,4,10.414,10
1/11/2014,3,3,3,2.032,11
1/11/2015,2,2,1,0.0,11
1/11/2016,2,1,1,0.0,11
1/11/2017,4,3,3,16.002,11
1/12/2014,3,3,3,1.524,12
1/12/2015,2,2,1,3.302,12
1/12/2016,2,1,1,0.0,12
1/12/2017,3,3,3,6.604,12
1/13/2014,3,3,3,5.334,13
1/13/2015,2,2,1,1.016,13
1/13/2016,1,1,1,0.0,13
1/13/2017,3,3,2,5.334,13
1/14/2014,3,3,3,0.0,14
1/14/2015,2,2,1,0.508,14
1/14/2016,1,1,1,0.0,14
1/14/2017,2,2,2,0.0,14
1/15/2014,3,3,3,1.524,15
1/15/2015,2,2,1,0.254,15
1/15/2016,2,2,1,0.0,15
1/15/2017,2,2,2,0.0,15
1/16/2014,3,3,3,0.0,16
1/16/2015,2,2,1,0.0,16
1/16/2016,2,2,1,0.254,16
1/16/2017,2,2,2,0.0,16
1/17/2014,3,3,3,0.0,17
1/17/2015,2,2,1,0.0,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,2,2,1,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2016,3,3,2,5.842,17
1/17/2017,2,2,2,0.508,17
1/18/2014,3,3,3,0.0,18
1/18/2015,2,2,1,2.794,18
1/18/2016,3,3,2,0.254,18
1/18/2017,1,1,1,0.0,18
1/19/2014,3,3,2,0.0,19
1/19/2015,2,2,1,0.0,19
1/19/2016,3,3,2,0.0,19
1/19/2017,1,1,1,0.0,19
1/2/2014,3,3,1,14.478,2
1/2/2015,2,2,2,0.0,2
1/2/2016,2,2,1,0.0,2
1/2/2017,2,1,1,0.0,2
1/20/2014,3,3,2,0.0,20
1/20/2015,2,2,1,0.0,20
1/20/2016,3,3,2,0.254,20
1/20/2017,2,1,1,0.254,20
1/21/2014,3,3,2,0.0,21
1/21/2015,2,2,1,9.652,21
1/21/2016,3,3,2,3.81,21
1/21/2017,2,1,1,2.032,21
1/22/2014,2,2,2,0.0,22
1/22/2015,2,2,1,0.0,22
1/22/2016,2,2,2,0.0,22
1/22/2017,3,2,2,0.0,22
1/23/2014,2,2,2,0.0,23
1/23/2015,2,2,1,0.508,23
1/23/2016,2,2,1,0.762,23
1/23/2017,3,3,3,0.508,23
1/24/2014,2,2,2,0.0,24
1/24/2015,2,2,1,0.0,24
1/24/2016,2,2,1,1.016,24
1/24/2017,3,3,3,8.382,24
1/25/2014,2,2,1,0.0,25
1/25/2015,2,2,1,0.0,25
1/25/2016,2,2,1,0.0,25
1/25/2017,2,2,2,1.524,25
1/26/2014,2,2,1,0.0,26
1/26/2015,2,2,1,0.0,26
1/26/2016,2,2,1,0.254,26
1/26/2017,2,2,2,0.508,26
1/27/2014,2,2,1,0.0,27
1/27/2015,2,2,1,0.0,27
1/27/2016,2,2,1,0.254,27
1/27/2017,2,2,2,0.762,27
1/28/2014,2,2,1,3.302,28
1/28/2015,2,2,1,0.0,28
1/28/2016,2,2,1,0.0,28
1/28/2017,2,2,2,0.0,28
1/29/2014,2,2,1,2.794,29
1/29/2015,2,2,1,0.0,29
1/29/2016,2,2,1,0.0,29
1/29/2017,2,2,2,0.0,29
1/3/2014,3,3,1,0.762,3
1/3/2015,2,2,2,0.0,3
1/3/2016,2,2,1,0.0,3
1/3/2017,2,2,2,0.0,3
1/30/2014,4,4,3,0.0,30
1/30/2015,2,1,1,0.0,30
1/30/2016,2,2,1,2.794,30
1/30/2017,2,2,2,0.254,30
1/31/2014,4,4,4,20.828,31
1/31/2015,1,1,1,0.0,31
1/31/2016,3,3,3,0.0,31
1/31/2017,2,2,2,0.0,31
1/4/2014,3,3,2,0.0,4
1/4/2015,3,3,2,0.254,4
1/4/2016,2,2,1,0.0,4
1/4/2017,3,3,3,2.032,4
1/5/2014,3,3,2,3.048,5
1/5/2015,2,2,2,7.874,5
1/5/2016,2,2,1,0.0,5
1/5/2017,4,4,3,3.81,5
1/6/2014,3,3,2,0.0,6
1/6/2015,2,2,2,0.0,6
1/6/2016,2,2,1,0.0,6
1/6/2017,3,3,2,32.258,6
1/7/2014,3,3,2,0.0,7
1/7/2015,2,2,2,0.0,7
1/7/2016,2,2,1,0.0,7
1/7/2017,3,2,2,0.254,7
1/8/2014,3,3,2,0.0,8
1/8/2015,2,2,2,0.0,8
1/8/2016,2,2,1,0.254,8
1/8/2017,2,2,2,0.0,8
