snow_smoothed_set_1,volt_set_1,snow_depth_set_1,air_temp_set_1,precip_accum_set_1,air_temp_high_24_hour_set_1,snow_water_equiv_set_1,air_temp_low_24_hour_set_1,date_time,precip_smoothed_set_1
,13.2,1346.2,-5.3,388.62,-0.2,381.0,-11.8,2016-04-01T00:00:00Z,
,13.2,1371.6,-8.0,388.62,-0.2,378.46,-11.8,2016-04-01T01:00:00Z,
,13.1,1371.6,-11.5,388.62,-0.2,378.46,-11.8,2016-04-01T02:00:00Z,
,13.1,1371.6,-13.3,386.08,-0.2,378.46,-11.8,2016-04-01T03:00:00Z,
,13.1,1371.6,-14.5,388.62,-0.2,375.92,-11.8,2016-04-01T04:00:00Z,
,13.0,1397.0,-15.5,386.08,-0.2,375.92,-11.8,2016-04-01T05:00:00Z,
,13.0,1371.6,-15.8,386.08,-0.2,378.46,-11.8,2016-04-01T06:00:00Z,
,13.0,1371.6,-16.28,386.08,-0.2,378.46,-11.8,2016-04-01T07:00:00Z,
,13.0,1371.6,-16.3,386.08,0.7,375.92,-16.5,2016-04-01T08:00:00Z,
,13.0,1346.2,-16.4,386.08,0.7,378.46,-16.5,2016-04-01T09:00:00Z,
,13.0,1320.8,-16.4,386.08,0.7,375.92,-16.5,2016-04-01T10:00:00Z,
,13.0,1346.2,-15.7,386.08,0.7,378.46,-16.5,2016-04-01T11:00:00Z,
,13.0,1346.2,-14.7,386.08,0.7,378.46,-16.5,2016-04-01T12:00:00Z,
,13.0,1346.2,-13.7,386.08,0.7,378.46,-16.5,2016-04-01T13:00:00Z,
,12.9,1346.2,-12.7,386.08,0.7,375.92,-16.5,2016-04-01T14:00:00Z,
,13.0,1346.2,-8.6,386.08,0.7,375.92,-16.5,2016-04-01T15:00:00Z,
,13.1,1320.8,-6.0,386.08,0.7,378.46,-16.5,2016-04-01T16:00:00Z,
,13.4,1346.2,-4.0,386.08,0.7,378.46,-16.5,2016-04-01T17:00:00Z,
,14.2,1346.2,-2.6,386.08,0.7,378.46,-16.5,2016-04-01T18:00:00Z,
,14.5,1346.2,-2.4,386.08,0.7,378.46,-16.5,2016-04-01T19:00:00Z,
