date,air_temp_low_24_hour,air_temp_high_24_hour,precip_accum_24_hour
1/1/2014,-12.6,-2.6,0.0
1/1/2016,-19.8,-8.0,0.0
1/1/2017,-12.3,5.7,0.0
1/10/2014,-8.2,-3.7,1.778
1/10/2015,-8.6,6.0,0.0
1/10/2016,-16.1,-3.1,0.0
1/10/2017,-6.9,0.9,10.414
1/11/2014,-13.1,-2.5,2.032
1/11/2015,-9.0,3.6,0.0
1/11/2016,-14.8,-5.2,0.0
1/11/2017,-6.8,1.6,16.002
1/12/2014,-14.5,-7.5,1.524
1/12/2015,-10.1,3.0,3.302
1/12/2016,-20.3,-7.7,0.0
1/12/2017,-8.0,-3.5,6.604
1/13/2014,-7.5,2.6,5.334
1/13/2015,-6.9,-0.7,1.016
1/13/2016,-20.2,-3.9,0.0
1/13/2017,-7.5,-1.6,5.334
1/14/2014,-12.5,-1.5,0.0
1/14/2015,-10.7,1.7,0.508
1/14/2016,-17.3,0.8,0.0
1/14/2017,-8.3,-0.9,0.0
1/15/2014,-12.4,-5.7,1.524
1/15/2015,-10.8,0.0,0.254
1/15/2016,-13.3,5.3,0.0
1/15/2017,-8.7,1.9,0.0
1/16/2014,-8.9,-6.5,0.0
1/16/2015,-14.2,0.5,0.0
1/16/2016,-12.0,-2.8,0.254
1/16/2017,-10.5,-0.3,0.0
1/17/2014,-13.8,-0.8,0.0
1/17/2015,-14.5,5.2,0.0
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2016,-13.1,-5.3,5.842
1/17/2017,-8.6,3.4,0.508
1/18/2014,-13.6,-2.0,0.0
1/18/2015,-11.6,5.9,2.794
1/18/2016,-14.5,-6.8,0.254
1/18/2017,-7.7,0.5,0.0
1/19/2014,-14.4,0.6,0.0
1/19/2015,-12.8,0.8,0.0
1/19/2016,-13.1,-5.0,0.0
1/19/2017,-13.2,3.6,0.0
1/2/2014,-9.5,-0.5,14.478
1/2/2016,-22.9,-9.9,0.0
1/2/2017,-14.0,1.7,0.0
1/20/2014,-14.2,2.7,0.0
1/20/2015,-11.9,4.5,0.0
1/20/2016,-10.7,1.9,0.254
1/20/2017,-14.6,3.5,0.254
1/21/2014,-12.8,3.7,0.0
1/21/2015,-7.7,2.4,9.652
1/21/2016,-13.1,1.7,3.81
1/21/2017,-12.7,6.1,2.032
1/22/2014,-13.9,1.0,0.0
1/22/2015,-12.7,-1.8,0.0
1/22/2016,-15.9,-3.5,0.0
1/22/2017,-14.6,-2.5,0.0
1/23/2014,-14.6,3.1,0.0
1/23/2015,-22.5,-5.2,0.508
1/23/2016,-15.0,-2.4,0.762
1/23/2017,-14.6,0.5,0.508
1/24/2014,-14.5,3.0,0.0
1/24/2015,-24.5,-3.1,0.0
1/24/2016,-13.7,5.0,1.016
1/24/2017,-11.0,-2.8,8.382
1/25/2014,-17.5,-1.4,0.0
1/25/2015,-17.5,1.1,0.0
1/25/2016,-9.8,6.3,0.0
1/25/2017,-11.5,-1.5,1.524
1/26/2014,-17.8,1.8,0.0
1/26/2015,-14.2,0.4,0.0
1/26/2016,-10.3,0.3,0.254
1/26/2017,-17.9,-3.1,0.508
1/27/2014,-12.4,5.4,0.0
1/27/2015,-7.1,4.0,0.0
1/27/2016,-16.4,-4.1,0.254
1/27/2017,-20.8,-8.3,0.762
1/28/2014,-12.3,1.4,3.302
1/28/2015,-7.3,11.7,0.0
1/28/2016,-20.1,-3.2,0.0
1/28/2017,-24.0,-11.9,0.0
1/29/2014,-13.5,-3.7,2.794
1/29/2015,-5.1,11.0,0.0
1/29/2016,-14.6,2.8,0.0
1/29/2017,-26.8,-5.0,0.0
1/3/2014,-14.8,-4.6,0.762
1/3/2015,-17.4,-4.8,0.0
1/3/2016,-23.2,-0.2,0.0
1/3/2017,-14.4,0.3,0.0
1/30/2014,-22.5,-7.8,0.0
1/30/2015,-6.8,3.7,0.0
1/30/2016,-11.3,5.4,2.794
1/30/2017,-19.3,-2.0,0.254
1/31/2014,-16.4,1.1,20.828
1/31/2015,-6.1,4.2,0.0
1/31/2016,-9.0,1.9,0.0
1/31/2017,-14.3,2.7,0.0
1/4/2014,-17.4,1.3,0.0
1/4/2015,-19.0,0.4,0.254
1/4/2016,-18.1,2.4,0.0
1/4/2017,-10.5,-1.7,2.032
1/5/2014,-12.3,3.2,3.048
1/5/2015,-15.0,-5.5,7.874
1/5/2016,-11.9,3.4,0.0
1/5/2017,-8.9,-5.7,3.81
1/6/2014,-19.7,-3.0,0.0
1/6/2015,-15.9,-5.4,0.0
1/6/2016,-10.2,4.0,0.0
1/6/2017,-9.0,-3.3,32.258
1/7/2014,-19.4,-16.5,0.0
1/7/2015,-8.8,3.5,0.0
1/7/2016,-9.9,1.8,0.0
1/7/2017,-17.5,-3.6,0.254
1/8/2014,-22.8,-5.8,0.0
1/8/2015,-1.7,4.8,0.0
1/8/2016,-10.9,0.6,0.254
1/8/2017,-25.7,-10.1,0.0
1/9/2014,-15.3,1.4,0.0
1/9/2015,-7.1,6.5,0.0
1/9/2016,-13.2,-3.0,0.0
1/9/2017,-22.8,-3.7,4.572
10/13/2016,-0.3,9.0,0.254
10/19/2016,-1.1,12.0,0.0
11/13/2015,-14.1,-3.8,0.0
11/14/2015,-15.3,1.5,0.0
11/15/2015,-13.6,5.0,0.0
11/16/2015,-10.1,9.5,0.0
11/17/2015,-9.4,6.2,2.032
11/18/2015,-5.9,1.0,2.032
11/19/2014,-19.9,-4.5,0.0
11/19/2015,-9.5,-4.1,2.286
11/2/2015,-3.5,7.0,0.0
11/20/2014,-18.6,-0.5,1.27
11/20/2015,-8.6,-2.5,7.112
11/21/2014,-11.8,1.7,0.0
11/21/2015,-6.3,1.2,0.0
11/22/2014,-11.7,2.9,0.0
11/22/2015,-18.0,-0.5,0.0
11/22/2016,-2.5,7.4,0.0
11/23/2014,-11.3,1.9,0.0
11/23/2015,-21.2,-2.3,0.0
11/23/2016,-2.5,7.8,2.286
11/24/2014,-10.6,4.4,0.0
11/24/2015,-13.7,5.3,1.778
11/24/2016,-6.9,-0.5,0.0
11/25/2014,-13.0,-3.4,0.0
11/25/2015,-10.0,5.8,0.762
11/25/2016,-12.3,5.0,2.794
11/26/2014,-13.1,-8.3,0.0
11/26/2015,-8.3,5.2,0.508
11/26/2016,-14.3,-2.5,0.0
11/27/2014,-13.6,-4.0,0.0
11/27/2015,-8.2,6.4,0.254
11/27/2016,-14.0,5.6,0.0
11/28/2014,-5.7,1.6,0.0
11/28/2015,-9.5,1.6,0.0
11/28/2016,-12.5,8.1,1.778
11/29/2014,-7.8,5.8,0.0
11/29/2015,-15.5,0.5,0.0
11/29/2016,-8.8,0.3,3.048
11/30/2014,-6.4,8.0,2.54
11/30/2015,-12.1,-1.6,0.254
11/30/2016,-11.6,-5.9,1.016
12/1/2014,-7.0,6.0,0.0
12/1/2015,-11.7,-2.6,1.016
12/1/2016,-14.1,-8.1,0.0
12/10/2014,-9.7,7.6,0.0
12/10/2015,-5.7,3.2,0.0
12/10/2016,-25.0,-4.9,5.334
12/11/2014,-8.0,8.0,0.0
12/11/2015,-6.4,5.2,0.0
12/11/2016,-6.1,-0.6,2.032
12/12/2014,-7.9,8.1,0.0
12/12/2015,-6.1,5.3,0.0
12/12/2016,-5.5,2.2,12.446
12/13/2014,-7.7,8.4,0.0
12/13/2015,-2.3,2.4,0.254
12/13/2016,-11.3,-0.4,0.0
12/14/2014,-7.0,11.1,0.0
12/14/2015,-11.1,-1.5,0.0
12/14/2016,-8.8,-2.6,0.0
12/15/2014,-3.3,7.2,4.318
12/15/2015,-17.5,1.5,0.508
12/15/2016,-11.9,-4.0,6.096
12/16/2014,-8.3,-3.3,1.016
12/16/2015,-10.4,0.1,1.524
12/16/2016,-5.2,-1.0,1.27
12/17/2014,-16.4,-3.2,0.0
12/17/2015,-15.5,-7.7,0.0
12/17/2016,-3.4,3.3,3.81
12/18/2014,-15.5,3.9,0.0
12/18/2015,-16.8,-8.4,0.0
12/18/2016,-7.7,1.1,18.542
12/19/2014,-10.3,-1.4,0.254
12/19/2015,-18.6,-11.7,0.0
12/19/2016,-25.7,-7.8,0.0
12/2/2014,-4.2,4.2,0.0
12/2/2015,-15.6,-10.4,0.0
12/2/2016,-19.1,-8.2,0.0
12/20/2014,-11.9,-3.5,0.0
